PRODUCT ID;PRODUCT NAME;LEGAL PRODUCT GROUP;BLOOMBERG VENDOR CODE;REUTERS VENDOR CODE
ALVE;OPT E ON ALLIANZ;SINGLE STOCK OPTIONS;ALV GR Equity;0#ALVE*.EX
ALVG;FUT ON ALLIANZ SE;SINGLE STOCK FUTURES;ALVG=A GR Equity;0#ALVG2:
AM8;OPT ON AMAG AUSTRIA METALL ;SINGLE STOCK OPTIONS;AMAG AV Equity;0#AMAV*.EX
AMGF;FUT ON AMGEN INC.;SINGLE STOCK FUTURES;AMGF=A GR Equity;0#AMGF:
AMS;OPT ON AMS AG;SINGLE STOCK OPTIONS;AMS SW Equity;0#AMS*.EX
AMYF;FUT ON Amer Sports OYJ;SINGLE STOCK FUTURES;AMYF=A GR Equity;0#AMYF:
AMZF;FUT ON AMAZON.COM INC;SINGLE STOCK FUTURES;AMZF=A GR Equity;0#AMZF:
ANAG;FUT ON ACCIONA S.A.;SINGLE STOCK FUTURES;ANAG=A GR Equity;0#ANA2:
ANAP;FUT ON Acciona SA;SINGLE STOCK FUTURES;ANAP=A GR Equity;0#ANAP:
ANDF;FUT ON ANDRITZ;SINGLE STOCK FUTURES;A4DF=A GR Equity;0#ANDR:
ANDR;OPT ON ANDRITZ AG;SINGLE STOCK OPTIONS;ANDR AV Equity;0#ANDR*.EX
ANI;OPT ON ANIMA HOLDING S.P.A.;SINGLE STOCK OPTIONS;124 GR Equity;0#ANIM*.EX
ANIF;FUT ON ANIMA HOLDING S.P.A.;SINGLE STOCK FUTURES;ANIF=A GR Equity;0#ANIM:
ANN;OPT ON VONOVIA SE;SINGLE STOCK OPTIONS;VNA GY Equity;0#ANNGn*.EX
ANNF;FUT ON VONOVIA SE;SINGLE STOCK FUTURES;ANNF=A GR Equity;0#ANNGn:
ANSF;FUT ON Ansaldo;SINGLE STOCK FUTURES;ANSF=A GR Equity;0#ANSF:
ANTH;FUT ON ANTOFAGASTA PLC;SINGLE STOCK FUTURES;ANTH=A GR Equity;0#ANTF3:
AOM;OPT ON ALSTOM;SINGLE STOCK OPTIONS;ALO FP Equity;0#ALSO*.EX
AOMH;FUT ON ALSTOM;SINGLE STOCK FUTURES;AOMH=A GR Equity;0#ALSO3:
AOP5;OPT ON ATLANTIA SPA;SINGLE STOCK OPTIONS;ATL IM Equity;0#ATL*.EX
AOPH;FUT ON ATLANTIA SPA;SINGLE STOCK FUTURES;AOPH=A GR Equity;0#AOPF3:
AOWF;FUT ON AO World ;SINGLE STOCK FUTURES;AOWF=A GR Equity;0#AOWF:
AOX;OPT ON alstria office REIT;SINGLE STOCK OPTIONS;AOX GY Equity;0#AOXG*.EX
AOXF;FUT ON ALSTRIA OFFICE REIT AG;SINGLE STOCK FUTURES;AOXF=A GR Equity;0#AOXG:
ARL;OPT ON AAREAL BANK AG;SINGLE STOCK OPTIONS;ARL GR Equity;0#ARLG*.EX
ARLF;FUT ON AAREAL BANK AG;SINGLE STOCK FUTURES;ARLF=A GR Equity;0#ARLG:
ARYN;OPTION ON ARYZTA;SINGLE STOCK OPTIONS;ARYN SW Equity;0#ARYN*.EX
ASG5;OPT ON GENERALI;SINGLE STOCK OPTIONS;G IM Equity;0#GASI*.EX
ASGG;FUT ON GENERALI;SINGLE STOCK FUTURES;ASGG=A GR Equity;0#GASI2:
ASIF;FUT ON ASM International;SINGLE STOCK FUTURES;ASIF=A GR Equity;0#ASMI:
ASM;OPT ON ASML HOLDING;SINGLE STOCK OPTIONS;ASML NA Equity;0#ASML*.EX
ASM1;1ST FRIDAY OPT ON ASML;SINGLE STOCK OPTIONS;ASME GR Equity;0#ASML1W*.EX
ASM2;2ND FRIDAY OPT ON ASML;SINGLE STOCK OPTIONS;ASME GR Equity;0#ASML2W*.EX
ASM4;4TH FRIDAY OPT ON ASML;SINGLE STOCK OPTIONS;ASME GR Equity;0#ASML4W*.EX
ASM5;5TH FRIDAY OPT ON ASML;SINGLE STOCK OPTIONS;ASME GR Equity;0#ASML5W*.EX
ASMH;FUT ON ASML HOLDING;SINGLE STOCK FUTURES;ASMH=A GR Equity;0#ASMF3:
ASSF;FUT ON ASSA-ABLOY AB;SINGLE STOCK FUTURES;ASSF=A GR Equity;0#ASSF:
ATCB;OPT ON ALTICE BASKET;SINGLE STOCK OPTIONS;ATC NA Equity;0#ATCB*.EX
ATCG;FUT ON ALTICE N.V. - A;SINGLE STOCK FUTURES;ATCG=A GR Equity;0#ATCE2:
ATEF;FUT ON ATEA ASA;SINGLE STOCK FUTURES;ATEF=A GR Equity;0#ATEA:
